block,steth_pool_balance,eth_pool_balance
13060582,548823.3608203472,546093.5268774491
13060586,548850.9067303472,546065.9891963823
13060671,548858.9357229443,546305.8231780148
13060702,548850.13668132,546314.6231780149
13060715,548842.2831397576,546322.4775796549
13060779,548843.1450637997,546368.4623903193
13060865,548860.8514388977,546350.7611363077
13060909,548811.1413989335,547260.3960364396
13060966,548806.3020992781,547265.2360364395
13060974,548798.3032605471,547273.2360364395
13060997,548806.301222759,547266.054769708
13061129,548808.4554019084,547168.3471263578
13061187,549289.7811183644,546778.4722548291
13061251,549338.680579609,546740.3359554799
13061357,549344.173609334,546745.070603751
13061431,549343.9929734315,547142.4221274402
13061432,549351.4940186926,547134.9231748871
13061437,549355.468964465,547150.9473330989
13061447,549360.4591309079,547145.9585589281
13061571,549386.5464495581,547231.7600637615
13061754,549394.9193003605,547223.3593698873
13061791,549417.4181775444,547203.2089463455
13061881,549445.0740094173,547220.4688386045
13061994,549454.783260921,547228.0608436405
13062071,549454.7833118195,547219.700603261
13062077,549459.2491304807,547215.2360353186
13062110,549541.8840922551,547221.7865380769
13062213,549568.3699561959,547853.7024580414
13062265,549587.4676970888,547882.692051395
13062294,549589.9326901264,547879.9373500077
13062385,549559.1378298502,547910.7365224008
13062409,549559.6378298502,547910.236651854
13062417,549561.6378298502,547908.2371698458
13062427,549561.8654310241,547908.0096276379
13062450,549565.0654310241,547904.8104570713
13062467,549565.438677565,547981.7295627608
13062633,549161.5835702214,548490.5252261072
13062633,549161.5835702214,548490.5252261072
13062643,549186.6335702214,548465.4808589631
13062764,549193.5260236372,549461.4933595143
13062786,549194.2258944509,549460.7936219993
13062950,549201.0542640687,549821.9296791691
13062959,549212.9550058647,549810.0310589717
13062991,549222.7561164795,550300.1815597719
13062997,549234.272906123,550288.6666357334
13063009,550317.2315715562,550798.8093147026
13063018,550319.3205940066,551790.357434574
13063041,550320.1054059784,551789.5727385142
13063047,550326.9654721635,551782.7136873845
13063094,550331.944960121,551777.4289051862
13063158,550352.0438390619,551725.3221142518
13063166,550336.0478298508,551741.3221142519
13063205,550352.04063922,551725.33171297
13063207,550358.8739758946,551718.4994107612
13063224,550367.7837589167,551709.5909815383
13063229,550492.7837589167,551584.6105702318
13063339,550523.0920282457,551557.1382127074
13063406,550530.3668911111,551553.3911233447
13063474,550531.6268911111,551552.1313295424
13063497,550537.0552460606,551556.2129123533
13063497,550537.0552460606,551556.2129123533
13063501,550538.6937243933,551554.5747024037
13063507,550541.6937252431,551551.5751934499
13063517,550541.7037252431,551551.5651950906
13063634,550546.5677949069,551547.0820025473
13063844,550554.0592112942,551025.6587171195
13063852,550554.7527412942,551024.9653142014
13063998,550568.5103105637,554846.7582405136
13064108,550568.810477312,554846.4580882485
13064328,550569.8092820321,554856.6388555319
13064384,550570.7604725242,555855.5880654813
13064432,550610.2712856722,555790.550490051
13064472,550615.2697935766,555755.5640591098
13064482,550787.2621964809,555583.5757716268
13064482,550787.2621964809,555583.5757716268
13064522,550787.8801964809,555578.1558845149
13064652,550838.02897018,555822.9778256839
13064659,550838.5591665228,555822.4476417395
13064722,550838.3066789275,555834.447053804
13064799,550838.8066789275,555828.5015742916
13064814,550859.3520015251,555798.2344814773
13064823,550860.7077825096,555756.9718409101
13064858,550862.3725153807,556723.1392872547
13064881,550863.3719186162,556734.1386829013
13064897,550865.4803186161,556732.0302665033
13064944,550866.5589324457,556733.6843724492
13064985,551021.6587931081,556771.6831209871
13065010,551027.5394008276,556765.8024936724
13065033,551032.90698945,556765.4343909454
13065066,551050.1243463029,556748.2369923119
13065088,551116.7799282098,556681.5814543051
13065101,551118.4053321219,556679.9560553925
13065140,551112.5331190106,556669.7965649447
13065166,551117.5374190107,556664.7922822572
