block,crvusd_price,ethusd_price,cvxcrv_crv_1,cvxcrv_crv_10,cvxcrv_crv_100,cvxcrv_crv_1000,cvxcrv_crv_10000,cvxcrv_pool_balance,crv_pool_balance
13056869,2.07092057,3066.626358,0.9969239292902544,9.132531524193912,10.082833258384948,10.08483002782055,10.08484980029756,9.900094591178515,10.1
13056984,2.05240538,3041.06034646,0.9947290005011118,9.947286346171326,99.47249755329727,994.6883601102642,9943.196023332965,552093.5017787587,456464.4046525603
13058684,2.12191162,3175.37406036,0.9965858486005452,9.96585527245227,99.65823135962158,996.5501674228128,9962.276366003962,581279.1842082901,527285.2432594572
13058701,2.12191162,3175.37406036,0.9954417061046305,9.95441378591886,99.5438103303606,995.4053342325147,9950.759193452452,597167.9392082901,511447.9117925064
13058709,2.12191162,3175.37406036,0.9914927420061916,9.914923714278842,99.14886652409456,991.4515628478443,9910.763473354931,648563.0965824364,460348.0994824443
13059916,2.22262768,3215.44164572,0.9880897607752436,9.880893302910604,98.80850248015084,988.0419049473232,9876.040202840362,688071.929940967,422916.3175712358
13060657,2.199,3219.04794068,0.9903174451273064,9.90317056453931,99.03131692373726,990.2742486397062,9898.800454529415,663546.299783842,447232.3175712358
13061692,2.22290931,3211.11785495,0.9904445588157476,9.904441722813422,99.04403064633745,990.4016007425112,9900.096372068509,662071.1648991113,448696.5562043398
13062097,2.1988721,3203.2638249300003,0.9913428687004164,9.913424964690266,99.13387737425631,991.3015050829606,9909.24538616937,651415.9379830804,459278.58323327976
13063982,2.27824409,3252.87707996,0.991919035129698,9.919186712971714,99.19150325973708,991.8786080143695,9915.104701314862,644372.7439217112,466278.58323327976
13064787,2.30839353,3280.91072376,0.9921391411264472,9.921387803370532,99.21351720828535,992.0990533854954,9917.34119769454,641640.0513141368,468995.60465685854
13065162,2.30839353,3277.85633251,0.9921755327599096,9.92175172464705,99.21715691547465,992.1355001348336,9917.710871929148,641186.0317081654,469447.0788718178
13067033,2.21001927,3288.6746081700003,0.9974846881465144,9.974843700334224,99.74811888571182,997.4493724578113,9971.306465438724,569598.2724136676,540829.3111405
13067949,2.23609193,3285.89679403,0.9974733184186478,9.97473000283365,99.74698188845235,997.4380001966576,9971.192450631295,569759.1640907094,540668.7045201279
13067958,2.23609193,3285.89679403,0.9967595637907424,9.967592436514714,99.67560421729809,996.7240187107988,9964.028166059858,579830.5885456009,530618.7757931515
13068411,2.19701817,3259.0874336,0.9962457924052392,9.962454700847898,99.62422467656836,996.2100020126136,9958.862969235655,587031.8685456008,523437.2892119107
13068656,2.22108345,3253.4468742,0.9970355514456636,9.970352322283128,99.70320399844336,997.0001104098748,9966.80002003385,575952.546791017,534504.2892119107
13069251,2.19803993,3267.73,0.9962979904909216,9.96297668424871,99.62944476526978,996.262228663469,9959.388108525807,586311.3179790797,524172.28684709175
13069283,2.19803993,3267.73,0.994806194057088,9.948058624114482,99.48025457580272,994.7693594142676,9944.35406676489,606885.9263856191,503673.7374704545
13069295,2.19803993,3267.73,0.9932505182307094,9.932501713907156,99.3246702700623,993.2119866655833,9928.617928547956,627560.0367592722,483107.5352024496
13069458,2.19803993,3260.43229291,0.9915964934864544,9.915961250732495,99.1592440545598,991.5555555731728,9911.825990113932,648414.037388257,462395.82254975336
13069492,2.19803993,3260.43229291,0.9898202665353824,9.898198692898983,98.98158963171086,989.776114635842,9893.729412579218,669337.6301528554,441650.847526631
13069537,2.19803993,3276.76,0.9878799057363402,9.878794709914615,98.78751228787311,987.8315751667172,9873.892455361076,690376.4082803656,420830.7247684235
13071327,2.25348827,3253.61415717,0.9828726135070334,9.82872057841418,98.28665000781322,982.8108114277934,9822.425118662211,736376.4083141686,375464.7060224466
13072153,2.25561197,3243.27134264,0.9837637582260128,9.837632263296328,98.37579063448791,983.7046041212468,9831.6105732588,729003.1510348696,382731.3309567682
13072951,2.22753297,3242.55052472,0.9849283326411464,9.849278304285432,98.49228073893646,984.872485431001,9843.5985178928,718867.0280047441,392731.3309567682
13072965,2.22753297,3242.55052472,0.9895705355120392,9.895701338113344,98.9566116268392,989.525887087294,9891.180550902744,672210.1453311506,438901.2129567682
13074524,2.32906393,3269.19,0.993370197505496,9.933698520665136,99.33663973939716,993.3318222792158,9929.83113256031,626096.5736192276,484726.7471070527
13077271,2.26090646,3152.2581441800003,0.9935341990183356,9.93533855381689,99.35304187425268,993.4960249648848,9931.49231047741,623955.4058891328,486858.6896605158
13077930,2.3406017500000003,3187.895,0.9966119249039564,9.96611604272332,99.66083978620874,996.5763242599454,9962.545381682874,582034.6592259991,528667.6896605159
13077980,2.37056611,3204.20273229,0.9953461631401406,9.953458356099246,99.53425601420642,995.3097887891408,9949.803026031856,599634.6592259991,511125.256118752
13078487,2.451449,3244.02,0.9896290996699734,9.896286990801231,98.96246926501044,989.5845750370158,9891.779035666494,671634.6592259993,439605.603927912
13078706,2.477,3260.63978602,0.9825926085654322,9.825920453696869,98.25864122778415,982.5299676083569,9819.53826735856,738783.4825966754,373326.333735706
13079018,2.477,3286.44070717,0.9778621720507666,9.77861467919421,97.78544249554724,977.783829802197,9770.60850539408,772629.354331409,340121.82082739833
13079870,2.4505027900000003,3325.6345245800003,0.9743784091082076,9.743775887784205,97.43693833930412,974.2871201849796,9734.429329554618,793269.3543314091,319958.6668538716
13080187,2.42586258,3329.0875722,0.9748051281090168,9.748043225172998,97.47962645687068,974.71548135534,9738.866755734804,790908.4245210871,322264.7976592616
13080863,2.42586258,3331.68350621,0.94801186419488,9.48009935143313,94.79906378622748,947.7969861872472,9457.901803761317,886908.424521087,229714.53685259484
13080886,2.42586258,3347.64095622,0.9570711257652706,9.57069614575916,95.7054497770542,956.9028369214528,9553.35286323978,863067.2384917414,252479.86680600917
13080913,2.42586258,3349.94410628,0.9601572668697518,9.601558903327374,96.01421206279132,960.0039887156662,9585.777446160911,853444.7123949998,261725.1836059125
13080947,2.37423606,3349.94410628,0.9659795020410168,9.659783671342533,96.59670147376698,965.8531568476628,9646.801262321223,832502.7347155721,281941.1785283316
13081061,2.37663333,3333.19,0.969900497553117,9.69899515059345,96.98896874045973,969.7911383396277,9687.775582641993,815804.6201446798,298141.1785283316
13081394,2.37663333,3345.28071461,0.97396418735041,9.739633526944624,97.39550039929163,973.8713021491824,9730.12162812881,795623.2538384427,317801.43966865906
13081987,2.40164429,3345.37381052,0.9719602699125244,9.719593637433858,97.19502996342,971.859416049354,9709.25598316742,805997.8448660277,307699.6346741895
13083833,2.32362627,3321.17240038,0.9814195538302196,9.814189578258842,98.14129965290748,981.3532578695948,9807.42948295071,748051.402942386,364442.1046426085
13084455,2.347,3334.0,0.9952560818112234,9.952558325642944,99.52533399964425,995.2284044158366,9949.780121814454,791110.6644662238,671327.6757899397
13084492,2.347,3334.0,0.9935402523394408,9.935399914022677,99.35373818734692,993.5112708278796,9932.48533293485,821444.9497908171,641140.4718215162
13086348,2.32298188,3335.25888429,0.9926268438358824,9.926265747580556,99.26238837900604,992.5969550830944,9923.257103444848,836969.3966908171,625711.7850906575
13087149,2.32298188,3335.6,0.9924653329009664,9.924650623925206,99.24623571126368,992.4352847162584,9921.625454052511,840101.6270791154,623360.292824898
13087249,2.29958388,3335.6,0.9957627442830126,9.957625273723494,99.57603582024696,995.7386601485454,9955.210134386283,889427.5919212227,774062.3760312884
13087294,2.29958388,3335.6,0.9933061194271424,9.93305888306402,99.33035769712345,993.2804508077562,9930.47872574167,938974.6406894528,724748.4967472458
13087382,2.29958388,3324.9669315700003,0.9961105123392252,9.961103198881949,99.61083953345064,996.0891454379512,9958.961890122766,988400.5719710148,875341.4066181317
13088080,2.27563595,3320.10426279,0.9930464949114234,9.930462974426948,99.30443226586108,993.024565116312,9928.25997631409,1114455.6188785462,849696.4665285697
13088096,2.27563595,3320.10426279,0.9968239765941737,9.968237957081325,99.6821986821462,996.8038953109802,9966.226978579058,1023866.5338209784,940032.4665285696
13088106,2.27563595,3320.10426279,0.9939555006858894,9.939553088232932,99.3953390118276,993.934195142142,9937.414322390798,1093499.799866763,870667.2222908011
13088796,2.20080986,3242.81265177,0.9930829761378388,9.930827789257323,99.30808067086105,993.0610749096894,9928.627722991148,1113700.4469342348,850582.3787744545
13089274,2.123,3172.21870528,0.9971941485113384,9.971939886448595,99.71923899646104,997.1764016033457,9970.163496752297,1143977.1606558233,1070245.4169397445
13089305,2.123,3172.21870528,0.9964392511964592,9.9643909000061,99.64374780160446,996.4213555503222,9962.598562177986,1165154.1781504543,1049119.9479918578
13090760,2.16749087,3222.4139774200003,0.9973611456321416,9.973609928721126,99.73594652598082,997.3441879243168,9971.912824608502,1190754.4079213757,1123517.5423398449
13090956,2.16749087,3211.05425514,0.995661623469848,9.956614672695745,99.56599052328464,995.6442814547104,9954.876911699495,1240369.3114491592,1074038.4483673023
13091020,2.16749087,3211.05425514,0.9776258951836152,9.776255536225566,97.76221376253956,977.587938944288,9772.420283100932,1613026.6379071593,705632.9388070228
13091055,2.16749087,3193.84608165,0.9811481583183734,9.811478684824996,98.11449698284488,981.1159537175216,9808.22796037699,1562660.116957355,755074.8956062054
13091056,2.16749087,3193.84608165,0.9824182207059924,9.824179481235232,98.24152220336016,982.3879345763828,9821.123688517304,1542334.971016026,775074.8956062056
13091520,2.1272765,3184.75206194,0.978219883685922,9.782195512338202,97.82162263424516,978.1829403438596,9778.463214322228,1605163.541589254,713432.286537407
13093667,2.1039856500000003,3108.98729504,0.991270387582595,9.912702404732237,99.12687693147102,991.2540512410462,9911.06213093018,1655361.3533267202,1163335.596655216
13093668,2.1039856500000003,3108.98729504,0.990607833350769,9.906076821069496,99.06061695969478,990.5910373070828,9904.38986345718,1675361.3566267202,1143501.8967500592
13094006,2.10954764,3100.84,0.9899152261949014,9.899150703048075,98.99135113244996,989.897913574689,9897.41131731022,1695671.2472671175,1123374.6539690965
13098097,2.22393931,3230.81481742,0.988815177042728,9.88815013126033,98.88133738671748,988.7969720770868,9886.320232994402,1726662.032382496,1092690.2836980072
13098100,2.22393931,3230.81481742,0.9868910944390992,9.868909147188688,98.68891174010828,986.8711326621584,9866.901162736323,1777166.538719365,1042761.050285576
13098111,2.22393931,3230.81481742,0.9855992440472432,9.855990525671269,98.55971376334188,985.5779750276298,9853.850075175642,1808526.1982831792,1011809.30143049
13104108,2.081,3127.61113541,0.9868894563303262,9.868892765987262,98.68874791672258,986.8694932894408,9866.884653391562,1777237.0517252693,1042737.8190505084
13104199,2.03249205,3090.22545009,0.9882496675904872,9.88249499259576,98.8247815851856,988.230971902596,9880.61533885056,1742051.3418855935,1077564.7453873728
13105014,2.0293173,3104.81236259,0.989394842432851,9.893946828504568,98.9393086941304,989.3771193185904,9892.165798204764,1710614.376659101,1108720.5477183836
13105959,2.02998832,3107.3388179900003,0.9902869087081936,9.902867553619108,99.02852218238108,990.269878906335,9901.156867389656,1684958.928943287,1134172.6771183838
13106511,2.07187523,3125.8361895000003,0.98836950452491,9.88369337151826,98.83676633238194,988.3509153160384,9881.824512775476,1738889.809843287,1080776.5268065478
13106557,2.07187523,3116.4426997200003,0.988386334082375,9.883861668424416,98.83844943461432,988.3677596755684,9881.994310397156,1738437.3555794824,1081224.730574654
13110447,2.18,3270.1203093100003,0.9887813336664688,9.887811695024594,98.87795277700734,988.7631012063672,9885.97900826262,1727714.3264731371,1091849.244368586
13110670,2.18,3267.41384894,0.9898972154605882,9.898970594591248,98.98954993649322,989.8798904576672,9897.229951646988,1696340.6760870835,1122958.544368586
13111303,2.1562287,3259.17325031,0.9902440505544072,9.902438969250037,99.02423605552306,990.2269892746313,9900.725088006777,1686263.1061100457,1132958.544368586
13111798,2.17807705,3255.1,0.9886186120759756,9.886184466603494,98.86167924098876,988.600240474264,9884.33767092114,1732198.0289384837,1087474.5103002014
13114332,2.13684873,3240.04427698,0.9942709369903012,9.942708244265512,99.42696987634592,994.2584395691578,9941.455871215036,1834659.624139889,1483289.044365206
13114364,2.13684873,3240.04427698,0.9937101629171248,9.937100485034176,99.37089043369896,993.697459732814,9935.827153800525,1856908.624139889,1461157.1226057217
13114396,2.13684873,3226.2716209600003,0.9929306435790872,9.929305262289676,99.29293526930503,992.9176138573174,9927.998732725591,1887203.0026441808,1431042.4501478295
13114739,2.11541156,3232.85,0.9923270277116678,9.923269078058109,99.2325708708251,992.3137138287192,9921.933698473898,1910115.0392122024,1408282.196814909
13115969,2.11527338,3234.10189364,0.9797737741294864,9.797735583111656,97.97713999675848,979.7498004795094,9795.32185347756,2269625.7588922023,1053297.7634975372
13117118,2.09393712,3257.33864184,0.980816573098652,9.808163678512797,98.0814315230156,980.7937742653528,9805.868755393329,2249269.9652389465,1076103.2290525718
